"Country","GDP - per capita (PPP)","Date of Information"
"Liechtenstein",139100,"2009 est."
"Qatar",124100,"2017 est."
"Macau",122000,"2018"
"Monaco",115700,"2015 est."
"Luxembourg",105100,"2017 est."
"Bermuda",99400,"2016 est."
"Singapore",94100,"2017 est."
"Isle of Man",84600,"2014 est."
"Brunei",78900,"2017 est."
"Ireland",73200,"2017 est."
"Norway",72100,"2017 est."
"Falkland Islands (Islas Malvinas)",70800,"2015 est."
"United Arab Emirates",68600,"2017 est."
"Sint Maarten",66800,"2014 est."
"Kuwait",65800,"2017 est."
"Hong Kong",64500,"2018"
"Switzerland",62100,"2017 est."
"Gibraltar",61700,"2014 est."
"United States",59800,"2017 est."
"San Marino",59000,"2017 est."
"Jersey",56600,"2016 est."
"Saudi Arabia",54500,"2017 est."
"Netherlands",53900,"2017 est."
"Guernsey",52500,"2014 est."
"Iceland",52200,"2017 est."
"Sweden",51200,"2017 est."
"Germany",50800,"2017 est."
"Taiwan",50500,"2017 est."
"Australia",50400,"2017 est."
"Denmark",50100,"2017 est."
"Austria",50000,"2017 est."
"Andorra",49900,"2015 est."
"Bahrain",49000,"2017 est."
"Canada",48400,"2017 est."
"Belgium",46600,"2017 est."
"Saint Pierre and Miquelon",46200,"2006 est."
"Oman",46000,"2017 est."
"Finland",44500,"2017 est."
"United Kingdom",44300,"2017 est."
"France",44100,"2017 est."
"Cayman Islands",43800,"2004 est."
"Japan",42900,"2017 est."
"Malta",41900,"2017 est."
"Greenland",41800,"2015 est."
"Faroe Islands",40000,"2014 est."
"Korea, South",39500,"2017 est."
"Puerto Rico",39400,"2017 est."
"New Zealand",39000,"2017 est."
"Spain",38400,"2017 est."
"Italy",38200,"2017 est."
"Aruba",37500,"2017 est."
"Equatorial Guinea",37400,"2017 est."
"Cyprus",37200,"2017 est."
"Virgin Islands",37000,"2016 est."
"Israel",36400,"2017 est."
"Guam",35600,"2016 est."
"Czechia",35500,"2017 est."
"Slovenia",34500,"2017 est."
"British Virgin Islands",34200,"2017 est."
"Montserrat",34000,"2011 est."
"Slovakia",33100,"2017 est."
"Bahamas, The",32400,"2017 est."
"Lithuania",32400,"2017 est."
"Estonia",31700,"2017 est."
"Trinidad and Tobago",31300,"2017 est."
"New Caledonia",31100,"2015 est."
"Portugal",30500,"2017 est."
"Hungary",29600,"2017 est."
"Poland",29600,"2017 est."
"Seychelles",29300,"2017 est."
"Malaysia",29100,"2017 est."
"Turks and Caicos Islands",29100,"2007 est."
"Saint Kitts and Nevis",28200,"2017 est."
"Russia",27900,"2017 est."
"Greece",27800,"2017 est."
"Latvia",27700,"2017 est."
"Turkey",27000,"2017 est."
"Antigua and Barbuda",26400,"2017 est."
"Kazakhstan",26300,"2017 est."
"Panama",25400,"2017 est."
"Croatia",24700,"2017 est."
"Chile",24600,"2017 est."
"Romania",24600,"2017 est."
"Northern Mariana Islands",24500,"2016 est."
"Uruguay",22400,"2017 est."
"Mauritius",22300,"2017 est."
"Bulgaria",21800,"2017 est."
"Argentina",20900,"2017 est."
"Iran",20100,"2017 est."
"Mexico",19900,"2017 est."
"Lebanon",19600,"2017 est."
"Saint Martin",19300,"2005 est."
"Maldives",19200,"2017 est."
"Belarus",18900,"2017 est."
"Barbados",18600,"2017 est."
"China",18200,"2018"
"Turkmenistan",18200,"2017 est."
"Gabon",18100,"2017 est."
"Thailand",17900,"2017 est."
"Montenegro",17800,"2017 est."
"Azerbaijan",17500,"2017 est."
"Botswana",17000,"2017 est."
"Dominican Republic",17000,"2017 est."
"French Polynesia",17000,"2015 est."
"Costa Rica",16900,"2017 est."
"Cook Islands",16700,"2016 est."
"Iraq",16700,"2017 est."
"Brazil",15600,"2017 est."
"Algeria",15200,"2017 est."
"Grenada",15100,"2017 est."
"Serbia",15100,"2017 est."
"Curacao",15000,"2004 est."
"Macedonia",14900,"2017 est."
"Suriname",14900,"2017 est."
"Palau",14700,"2017 est."
"Colombia",14400,"2017 est."
"Saint Lucia",14400,"2017 est."
"Mongolia",13700,"2018"
"South Africa",13600,"2017 est."
"Peru",13500,"2017 est."
"Sri Lanka",12900,"2017 est."
"Bosnia and Herzegovina",12800,"2017 est."
"Paraguay",12800,"2017 est."
"Egypt",12700,"2017 est."
"Albania",12500,"2017 est."
"Venezuela",12500,"2017 est."
"Indonesia",12400,"2017 est."
"Cuba",12300,"2016 est."
"Nauru",12300,"2017 est."
"Anguilla",12200,"2008 est."
"Tunisia",11900,"2017 est."
"Ecuador",11500,"2017 est."
"Saint Vincent and the Grenadines",11500,"2017 est."
"American Samoa",11200,"2016 est."
"Namibia",11200,"2017 est."
"Dominica",11000,"2017 est."
"Kosovo",10900,"2017 est."
"Georgia",10700,"2017 est."
"Eswatini",10100,"2017 est."
"Fiji",9800,"2017 est."
"Libya",9600,"2017 est."
"Armenia",9500,"2017 est."
"Jamaica",9200,"2017 est."
"Jordan",9200,"2017 est."
"Bhutan",9000,"2017 est."
"Ukraine",8800,"2017 est."
"Morocco",8600,"2017 est."
"Philippines",8400,"2017 est."
"Belize",8300,"2017 est."
"Guatemala",8200,"2017 est."
"Guyana",8100,"2017 est."
"El Salvador",8000,"2017 est."
"Saint Helena, Ascension, and Tristan da Cunha",7800,"FY09/10 est."
"Bolivia",7600,"2017 est."
"Laos",7400,"2017 est."
"India",7200,"2017 est."
"Cabo Verde",7000,"2017 est."
"Uzbekistan",6900,"2017 est."
"Vietnam",6900,"2017 est."
"Angola",6800,"2017 est."
"Congo, Republic of the",6800,"2017 est."
"Moldova",6700,"2017 est."
"Burma",6300,"2017 est."
"Timor-Leste",6000,"2017 est."
"Nicaragua",5900,"2017 est."
"Nigeria",5900,"2017 est."
"Tonga",5900,"2017 est."
"Niue",5800,"2003 est."
"Samoa",5700,"2017 est."
"Honduras",5600,"2017 est."
"Pakistan",5400,"2017 est."
"Ghana",4700,"2017 est."
"Mauritania",4500,"2017 est."
"Sudan",4300,"2017 est."
"West Bank",4300,"2014 est."
"Bangladesh",4200,"2017 est."
"Cambodia",4000,"2017 est."
"Zambia",4000,"2017 est."
"Cote d'Ivoire",3900,"2017 est."
"Tuvalu",3800,"2017 est."
"Wallis and Futuna",3800,"2004 est."
"Cameroon",3700,"2017 est."
"Kyrgyzstan",3700,"2017 est."
"Papua New Guinea",3700,"2017 est."
"Djibouti",3600,"2017 est."
"Marshall Islands",3600,"2017 est."
"Kenya",3500,"2017 est."
"Senegal",3500,"2017 est."
"Micronesia, Federated States of",3400,"2017 est."
"Lesotho",3300,"2017 est."
"Sao Tome and Principe",3200,"2017 est."
"Tajikistan",3200,"2017 est."
"Tanzania",3200,"2017 est."
"Syria",2900,"2015 est."
"Nepal",2700,"2017 est."
"Vanuatu",2700,"2017 est."
"Gambia, The",2600,"2017 est."
"Western Sahara",2500,"2007 est."
"Yemen",2500,"2017 est."
"Uganda",2400,"2017 est."
"Benin",2300,"2017 est."
"Chad",2300,"2017 est."
"Zimbabwe",2300,"2017 est."
"Ethiopia",2200,"2017 est."
"Guinea",2200,"2017 est."
"Mali",2200,"2017 est."
"Solomon Islands",2200,"2017 est."
"Rwanda",2100,"2017 est."
"Afghanistan",2000,"2017 est."
"Kiribati",2000,"2017 est."
"Burkina Faso",1900,"2017 est."
"Guinea-Bissau",1900,"2017 est."
"Haiti",1800,"2017 est."
"Korea, North",1700,"2015 est."
"Togo",1700,"2017 est."
"Comoros",1600,"2017 est."
"Eritrea",1600,"2017 est."
"Madagascar",1600,"2017 est."
"Sierra Leone",1600,"2017 est."
"South Sudan",1600,"2017 est."
"Liberia",1300,"2017 est."
"Mozambique",1300,"2017 est."
"Malawi",1200,"2017 est."
"Niger",1200,"2017 est."
"Tokelau",1000,"1993 est."
"Congo, Democratic Republic of the",800,"2017 est."
"Burundi",700,"2017 est."
"Central African Republic",700,"2017 est."
