"Country","Politica_p","Freedom_p"
"Afghanistan",27.7,62
"Albania",27.9,70.2
"Algeria",25.8,58.6
"Argentina",38.9,61.3
"Armenia",18.1,58.9
"Australia",28.7,78
"Austria",34.4,50.9
"Azerbaijan",16.8,66.7
"Bangladesh",20.3,66.9
"Belarus",34.5,67.9
"Belgium",38,73.4
"Benin",7.2,46.9
"Bolivia",53.1,63.9
"Bosnia and Herzegovina",21.4,56.7
"Botswana",9.5,71.1
"Brazil",10.7,66.9
"Bulgaria",23.8,64.2
"Burkina Faso",11,38.2
"Côte d'Ivoire",10.6,32.1
"Cambodia",20.3,71.1
"Cameroon",31.1,57.2
"Canada",27,80.4
"Central African Republic",8.6,54.9
"Chad",12.8,36
"Chile",22.6,67.5
"China (People's Republic of)",24.2,70.1
"Chinese Taipei",38.1,77.4
"Colombia",18.7,66.7
"Congo",11.3,51.4
"Costa Rica",35.1,64.7
"Croatia",18.5,63.3
"Cyprus",17.9,80.7
"Czech Republic",22,77.1
"Democratic Republic of the Congo",8.9,44.1
"Denmark",37.4,74.6
"Dominican Republic",26.8,61.2
"Ecuador",38,67.6
"El Salvador",32.1,64.3
"Estonia",26.7,75.4
"Ethiopia",38.8,66.1
"Finland",42,91.1
"France",39,58.5
"Gabon",17.1,46.9
"Gambia",10.3,68.4
"Georgia",16,66.3
"Germany",30.7,55.3
"Ghana",12.7,46.8
"Greece",18.3,62.1
"Guatemala",12.7,70.2
"Guinea",21.9,48.2
"Haiti",2.5,51.3
"Honduras",21.1,65.7
"Hong Kong, China",14.7,72.6
"Hungary",10.1,71.2
"Iceland",38.1,85.8
"India",11.8,58
"Indonesia",19.8,81.2
"Iran",5.9,70.1
"Iraq",25.3,29.7
"Ireland",22.2,61.5
"Israel",27.5,68.8
"Italy",31,59.2
"Jamaica",17.5,66.6
"Japan",10.1,66.1
"Jordan",15.4,75.9
"Kazakhstan",27.1,66.1
"Kenya",21.8,58.2
"Korea",17,51.3
"Kosovo",31.7,72.4
"Kyrgyzstan",19.2,69
"Lao People's Democratic Republic",27.5,65.4
"Latvia",16,75.4
"Lebanon",3.1,56.1
"Lesotho",22.1,63.2
"Liberia",9.9,66.8
"Libya",16,35.2
"Lithuania",21.3,59.7
"Luxembourg",28.3,56
"Madagascar",19.2,64.4
"Malawi",16.7,69.5
"Mali",8.8,47.6
"Malta",11.9,74
"Mauritania",25.2,44
"Mauritius",11.6,64.7
"Mexico",42.6,65.7
"Moldova",22.8,57.8
"Mongolia",17.1,65.4
"Montenegro",23.5,58.2
"Morocco",20.5,70.6
"Mozambique",39.6,49.3
"Myanmar",10.2,68.5
"Namibia",41.3,72.3
"Nepal",32.7,71.5
"Netherlands",36,80.6
"New Zealand",38.3,79.2
"Nicaragua",45.7,60.5
"Niger",17,46.6
"Nigeria",5.6,47.9
"North Macedonia",37.5,67.3
"Norway",41.4,81.6
"Pakistan",20.6,52.4
"Palestinian Authority or West Bank and Gaza Strip",12.9,67.6
"Panama",18.3,68.3
"Paraguay",13.8,61.4
"Peru",27.7,65.1
"Philippines",29.5,61
"Poland",28,66.2
"Portugal",34.8,73.8
"Romania",20.7,68.1
"Russia",15.8,76.7
"Rwanda",61.3,77.2
"Senegal",41.8,55.4
"Serbia",34.4,73.2
"Sierra Leone",12.4,55.6
"Singapore",23,60.7
"Slovak Republic",20,67.3
"Slovenia",36.7,78.5
"South Africa",42.1,55.4
"South Sudan ",28.5,52.6
"Spain",39.1,58.4
"Sri Lanka",5.8,68.1
"Sweden",43.6,74.3
"Switzerland",32.5,55.6
"Tajikistan",19,62.6
"Tanzania",37.2,62.4
"Thailand",4.8,71.8
"Togo",17.6,42.4
"Trinidad and Tobago",31,64.1
"Tunisia",31.3,62.2
"Turkey",14.6,54.6
"Turkmenistan",25.8,49.3
"Uganda",34.3,62.7
"Ukraine",12.3,73.6
"United Kingdom",32,55.8
"United States",19.4,72.4
"Uruguay",20.2,68.4
"Uzbekistan",16,74.2
"Venezuela",22.2,63
"Viet Nam",26.7,69
"Yemen",0,68
"Zambia",18,62.4
"Zimbabwe",32.6,70.5
