Pais,DesigualdadGenero,MLAutonomia,MLViolencia,VozPolitica,LibertadMov,ConfianzaSJ,SecundariaC,DesempleoMuj,CuentaF
Afghanistan,0.58,0.75,0.75,27.7,62,65.2,13.22,2.18,7.16
Albania,0.23,0,0.5,27.9,70.2,54.5,93.51,0.9,38.1
Algeria,0.44,0.75,0.5,25.8,58.6,48,39.08,2.11,29.27
Andorra,,,,,,,71.48,,
Angola,0.58,0,0.75,,,,23.1,1.1,22.33
Antigua and Barbuda,,0.75,0.75,,,,,,
Argentina,0.35,0.5,0.75,38.9,61.3,54.1,66.5,1.27,50.76
Armenia,0.26,0,0.75,18.1,58.9,52.9,96.87,1.02,40.91
Australia,0.1,0,0.75,28.7,78,59,89.99,1.04,99.2
Austria,0.07,0,0.25,34.4,50.9,49.3,100,0.98,98.38
Azerbaijan,0.32,0,0.75,16.8,66.7,42.2,93.9,1.39,27.72
Bahamas,0.35,0.25,0.5,,,,88.02,1.28,
Bahrain,0.21,0,0.75,,,,64.18,11.67,75.41
Bangladesh,0.54,0.75,0.75,20.3,66.9,50.6,45.26,1.97,35.84
Barbados,0.26,0.25,0.75,,,,94.58,1.1,
Belarus,0.12,0,0.75,34.5,67.9,54.6,87.24,0.56,81.34
Belgium,0.04,0,0.5,38,73.4,48.2,82.62,1.02,98.82
Belize,0.39,0.75,0.75,,,,78.92,2.83,52.28
Benin,0.61,0.5,0.5,7.2,46.9,41.7,18.2,1.1,28.59
Bhutan,0.44,0.5,0.5,,,,7.59,1.76,27.68
Bolivia,0.45,0.25,0.25,53.1,63.9,58.9,52.81,1.48,53.85
Bosnia and Herzegovina,0.16,0,0.5,21.4,56.7,50.4,73.06,1.26,54.74
Botswana,0.46,0.25,0.75,9.5,71.1,62.5,89.64,1.45,46.79
Brazil,0.39,0.5,0.25,10.7,66.9,62.3,61.03,1.3,67.51
Brunei Darussalam,0.23,0.75,0.75,,,,69.52,1.17,
Bulgaria,0.22,0,0.75,23.8,64.2,55.6,94.17,0.84,73.64
Burkina Faso,0.61,0.5,0.75,11,38.2,23.2,6.02,2.32,34.5
Burundi,0.52,0.75,0.5,,,,7.5,0.55,6.73
Cabo Verde,0.37,0,0.5,,,,28.73,1.08,
Cambodia,0.47,0,0.5,20.3,71.1,54.1,15.08,0.75,21.53
Cameroon,0.57,0.5,0.75,31.1,57.2,53,32.66,1.34,30.03
Canada,0.08,0,0.25,27,80.4,52.4,100,0.93,99.85
Central African Republic,0.68,0.25,0.25,8.6,54.9,43.6,13.42,1.2,9.72
Chad,0.7,0.25,0.75,12.8,36,32.5,1.74,1.37,14.85
Chile,0.29,0.5,0.75,22.6,67.5,63,78.97,1.16,71.27
China,0.16,,,24.2,70.1,54.4,75.44,0.78,76.36
Colombia,0.41,0.5,0.25,18.7,66.7,62.2,53.07,1.66,42.47
Comoros,,0.75,0.75,,,,,1.17,17.89
Congo,0.58,1,0.75,11.3,51.4,50.6,46.72,1.14,20.99
Costa de Marfil,0.66,0.75,0.75,10.6,32.1,52.1,17.84,1.55,35.56
Costa Rica,0.28,0.75,0.75,35.1,64.7,58.8,53.76,1.51,60.88
Croatia,0.12,0,0.25,18.5,63.3,55,94.53,1.28,82.7
Cuba,0.31,0,0.75,,,49.8,86.74,1.19,
Cyprus,0.09,0.25,0.25,17.9,80.7,51.7,78.25,1.01,90.01
Czech Republic,,0,0.75,,,,,,
Czechia,0.14,,,22,77.1,28.9,99.82,1.45,78.58
Democratic Republic of the Congo,0.66,0.75,0.75,8.9,44.1,34.1,36.73,0.66,24.22
Denmark,0.04,0,0.5,37.4,74.6,50.5,89.18,1.08,100
Djibouti,,0.75,0.5,,,,,1.15,8.76
Dominica,,0.75,0.75,,,,,,
Dominican Republic,0.45,0.75,0.25,26.8,61.2,54.9,58.63,1.95,54.14
