"REGION","Region","LOCATION","Country","INC","Income","VAR","Variable","TIME","Year","Value","Flag Codes","Flags"
"ASI","Asia","AUS","Australia","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ASI","Asia","AUS","Australia","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",78,,
"ALL","All regions","AUS","Australia","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","AUS","Australia","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",78,,
"EUR","Europe","AUT","Austria","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"EUR","Europe","AUT","Austria","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",50.9,,
"ALL","All regions","AUT","Austria","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","AUT","Austria","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",50.9,,
"EUR","Europe","BEL","Belgium","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"EUR","Europe","BEL","Belgium","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",73.4,,
"ALL","All regions","BEL","Belgium","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","BEL","Belgium","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",73.4,,
"AME","Americas","CAN","Canada","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"AME","Americas","CAN","Canada","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",80.4,,
"ALL","All regions","CAN","Canada","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","CAN","Canada","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",80.4,,
"EUR","Europe","CZE","Czech Republic","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"EUR","Europe","CZE","Czech Republic","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",77.1,,
"ALL","All regions","CZE","Czech Republic","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","CZE","Czech Republic","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",77.1,,
"EUR","Europe","DNK","Denmark","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"EUR","Europe","DNK","Denmark","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",74.6,,
"ALL","All regions","DNK","Denmark","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","DNK","Denmark","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",74.6,,
"EUR","Europe","FIN","Finland","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
